id_ligne;ligne;TKC2019;TKC2023;ponct19;ponct23
1;Ligne 1;0,664;0,722;100,7;100,93
2;Ligne 2;0,417;0,420;99,3;95,48
3;Ligne 3-3 bi;0,412;0,415;98,1;86,89
4;Ligne 4;0,435;0,436;93,5;97,01
5;Ligne 5;0,512;0,515;99,6;99,02
6;Ligne 6;0,474;0,476;96,6;85,30
7;Ligne 7-7 bis;0,705;0,706;96,6;89,74
8;Ligne 8;0,665;0,669;96,7;88,04
9;Ligne 9;0,685;0,686;99,3;97,83
10;Ligne 10;0,247;0,250;98,9;95,35
11;Ligne 11;0,233;0,233;97,1;92,37
12;Ligne 12;0,441;0,445;97,9;87,78
13;Ligne 13;0,703;0,709;94,8;85,60
14;Ligne 14;0,360;0,364;100,1;101,21
